Object ID,Centroid X,Centroid Y,Phenotype,imageid
68fbcc70-0e24-4bf3-94e9-258898507b15,28115.83398,32663.1875,Vessels,XX10684A1
59aa281d-5845-491e-942d-acf0740d11f6,28092.33008,32664.18359,Vessels,XX10684A1
a1a77551-b01e-4e02-8561-7adf881bcc61,28174.58984,32664.27539,Helper_T_cells,XX10684A1
d51ceefc-50fb-48fe-b9d5-b17971b95595,28212.65234,32665.14453,Tregs,XX10684A1
e48a31bf-0a01-410c-bcb6-1e5b88a12d62,28363.95508,32668.86914,Vessels,XX10684A1
78414c73-9163-43d9-92cb-45bdf3365ba5,28245.22852,32669.71289,Vessels,XX10684A1
c309411a-1002-45d4-8af2-6ad7a449e00a,28156.67578,32678.26367,Vessels,XX10684A1
27256a10-dd1a-4ae3-a6ed-7a65ff675bfa,28294.71289,32678.41016,Vessels,XX10684A1
f97d3702-d35c-47b6-9157-b1956782c2d8,28378.20703,32678.0625,Vessels,XX10684A1
d197163b-c33c-4126-a49d-5ea08afae444,28115.59375,32677.9668,Vessels,XX10684A1
42ebab76-e7cf-4751-8705-f6311effab6d,28143.6543,32677.09375,Vessels,XX10684A1
885c9db5-47d8-4584-baf0-d8a79a95c210,28320.4082,32686.22656,Tregs,XX10684A1
df7d195a-7ca8-4fc7-b5ec-e3f4d4d86c6d,28368.83789,32688.44922,Vessels,XX10684A1
d049a84d-a63f-4c34-b2b4-6f114d5ec7b0,28140.25781,32689.22266,Vessels,XX10684A1
1d3ada1a-93f5-42a9-8697-b7282cca43ed,28072.29297,32693.07227,M1_Macrophages,XX10684A1
2e29e141-d43f-46ed-8adc-993f650a390c,28238.38086,32693.40039,Vessels,XX10684A1
fb118d2d-31cd-490c-836e-2fe98545d5d8,28105.85742,32696.23242,Vessels,XX10684A1
98956d04-593a-4303-8f18-e57f8ee1f532,28286.70898,32694.04492,Vessels,XX10684A1
61a0d504-8613-439e-8695-0112f10682b3,28151.65234,32694.58789,Vessels,XX10684A1
4032d712-f44b-4216-960b-e6f228623830,28057.88867,32698.31055,Helper_T_cells,XX10684A1
5ed19f39-3267-497c-b664-e6a889115b88,28305.42969,32697.83203,Vessels,XX10684A1
0e87e48f-d53e-49f2-8bfc-55a3eec67214,28127.11523,32698.39648,B_cells,XX10684A1
0b0cec15-f46f-4901-b3c2-84693e57b85a,28368.89063,32700.49023,Cytotoxic_T_cells,XX10684A1
761e1d4b-122d-4fa3-ae24-54984cf3fe07,28356.3125,32700.5957,Cytotoxic_T_cells,XX10684A1
f91be81f-f742-4b7e-bd69-07c2900146e0,28083.57422,32705.87695,AP_M1_Macrophages,XX10684A1
b6d70798-752f-4d42-898e-3ff148f298b0,28317.05078,32706.82227,Vessels,XX10684A1
955d5d99-12c5-4a84-bba9-88e44e06e2f2,28287.31055,32706.66992,Vessels,XX10684A1
3f673f2d-ab89-4c41-92e9-36a87e0e2253,28141.94336,32707.08594,Vessels,XX10684A1
3f8932da-10b8-41cd-b90b-89e70b217d76,28226.93555,32707.16602,Vessels,XX10684A1
29d5896e-3dcf-4d35-ad80-15fbd989dfbf,28120.95703,32711.16016,Vessels,XX10684A1
14ac77ee-6859-4856-8e61-19210cfd6d91,28049.48047,32716.07227,Tregs,XX10684A1
138b0853-8ab4-4cb5-9a47-dd1326aba5bf,28363.66992,32719.06836,Helper_T_cells,XX10684A1
5db8d551-c9f1-490c-b2fd-56187057698a,28077.36133,32719.92383,M1_Macrophages,XX10684A1
022dba67-0e05-442b-924a-72fa4ec7acf3,28093.41797,32723.70117,Vessels,XX10684A1
d25b98de-2e07-4764-87e3-5b6f86cc5244,27972.95508,32728.3125,Cytotoxic_T_cells,XX10684A1
54bcc29f-e407-4afc-a09b-9c364f5e2d5b,28263.61523,32726.11328,Vessels,XX10684A1
97e07e9c-a501-4a34-865e-4f816fd4707e,28130.51367,32730.03125,Vessels,XX10684A1
2bef36e0-92f6-40ce-ae2a-ba79c88e8134,28173.38672,32731.6875,Vessels,XX10684A1
cd70d381-9ed5-49dc-97fa-cf2e92948170,28277.36719,32733.85742,Vessels,XX10684A1
11c18adb-22dc-421a-b651-ecfcd72f6975,28225.77734,32733.53906,Cytotoxic_T_cells,XX10684A1
b1bc0407-75b2-4375-9ce7-ca3afa94d32d,28058.625,32733.60742,Vessels,XX10684A1
e78e5ed9-d711-477a-b9b7-3a7afc5f1c42,28030.625,32732.5293,Tregs,XX10684A1
fba17356-1a87-4cd5-a82a-bbf6b267ac82,28070.68359,32734.66992,Vessels,XX10684A1
9f3c03bb-7186-48a9-aa72-2398ceadba86,28156.18945,32735.9707,Vessels,XX10684A1
46d35b29-8152-41f5-b698-f818e6cf3bc7,27989.50195,32737.36328,Helper_T_cells,XX10684A1
752b6d1e-b66c-439d-8404-8d1bc4cb7340,28106.14844,32739.48047,Vessels,XX10684A1
6ac2acde-a4eb-43cb-8eb3-e30b26351e8c,28048.75586,32742,Vessels,XX10684A1
e1b45991-626b-4bad-95ef-f7e5aadd98d6,28009.19727,32742.49023,Cytotoxic_T_cells,XX10684A1
0dda4f07-24d4-4f76-9e45-7487105cb371,28125.14453,32743.95703,Vessels,XX10684A1
684b11f2-fc7c-4bb1-b9eb-e6997ef6890d,28264.55664,32746.11523,Vessels,XX10684A1
f53403d8-362a-4b61-87e4-e6b4cc0807ae,28022.48047,32747.06445,Tregs,XX10684A1
a7066ff7-aa9c-4763-bcd4-e91937fa8d6a,28092.35352,32747.0332,Vessels,XX10684A1
bfb784b2-02db-4838-b6cc-a4a1418f7cf7,28219.48828,32747.24414,Vessels,XX10684A1
ad5d183d-374a-48aa-a81d-c4d5239e8c8a,28141.73828,32748.06641,Vessels,XX10684A1
bab8991a-f0a3-4272-9edb-e8a1dcae246d,28306.30469,32749.94531,Vessels,XX10684A1
1ca9ad85-39e9-4684-a614-a596e4095387,28165.4082,32750.87305,Vessels,XX10684A1
ac4f9d6f-bf32-4f68-af8a-131a260fa7d8,28235.90039,32755.9375,Tregs,XX10684A1
9bc35af0-6529-4b55-8f76-4468cc1d26a4,28292.79297,32758.26563,Tregs,XX10684A1
fc023492-dcba-4bc5-b6be-bd2cc3161692,28222.88281,32759.1543,Vessels,XX10684A1
e21cfd1d-c6d4-430f-b9f5-76b7f6cc225e,28371.13281,32758.29688,B_cells,XX10684A1
94e3a01c-3780-40b0-afb1-75511f805f25,28111.64844,32757.88281,Vessels,XX10684A1
d1890e2d-7943-4a79-9056-cddbb5665c14,28176.71875,32764.95117,Vessels,XX10684A1
d507558d-f776-45cf-878c-005474f4f965,28036.60352,32766.53711,Cytotoxic_T_cells,XX10684A1
71d24664-6b57-42b5-b96d-bcf268a19938,28409.82422,32767.22656,Tregs,XX10684A1
09c8200e-41e5-4e20-9960-b30d7c2176ee,28191.63477,32767.45117,Vessels,XX10684A1
055821c3-6bb6-4602-8c07-48f493f7c755,28148.75781,32768.1875,Vessels,XX10684A1
c5cbf4e1-f359-48c3-a42b-abcc9deee1e6,28388.05664,32768.84375,B_cells,XX10684A1
cf3a5f9d-3b14-49dd-b3e7-80f803f4e6df,28115.41797,32769.78516,Vessels,XX10684A1
8087d9e0-00fd-4469-b315-955209081e9b,28224.33789,32771.20313,Vessels,XX10684A1
ed0e500d-2fd9-4f8b-bc0f-f317fd2d460b,28158.42773,32777.58594,Vessels,XX10684A1
e37832dc-77ec-4f4a-8716-d42461c77170,28419.24609,32782.32813,Tregs,XX10684A1
44b6a809-78b4-4d9d-8ebf-9866215ba664,28223.5918,32782.35547,Vessels,XX10684A1
7dfce4e6-a89b-4083-b54b-bd1b8f14f5d1,28275.42188,32783.19531,Vessels,XX10684A1
f1284790-ad8f-4452-98a2-82eefba01cac,28299.69922,32785.35156,Vessels,XX10684A1
