source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
Ki67 proliferating cells,Cytotoxic T,median,45.88027898781855,60.330765850023205,0.163,attraction
Ki67 proliferating cells,Cytotoxic T,p10,11.696254510923914,25.16050988805687,0.041,attraction
Ki67 proliferating cells,Cytotoxic T,p90,147.50849585909066,119.8182284010196,0.16,avoidance
T,TAM,mean,97.09969031711528,79.11046487199317,0.018,avoidance
T,TAM,median,86.17900919776702,67.89517122171092,0.003,avoidance
T,TAM,p10,31.778224221692696,22.69602829400425,0.003,avoidance
T,TAM,p90,174.6490899167241,152.18274844158063,0.093,avoidance
T,Endothelial cells,mean,87.68269593589537,79.23119398970331,0.081,avoidance
T,Endothelial cells,median,69.7888931023107,67.9390385717165,0.329,avoidance
T,Endothelial cells,p10,24.670659894819455,22.69568025227048,0.249,avoidance
T,Endothelial cells,p90,167.24973498398828,152.03826702764817,0.133,avoidance
T,Ki67 proliferating cells,mean,100.23119782103272,79.53321129853005,0.037,avoidance
T,Ki67 proliferating cells,median,95.59293906978704,68.67652623754536,0.014,avoidance
T,Ki67 proliferating cells,p10,35.02767765888137,24.911225262030538,0.07,avoidance
T,Ki67 proliferating cells,p90,163.89760386669326,148.5480360939604,0.19,avoidance
T,T,mean,78.50021777357358,81.70006947231205,0.401,attraction
T,T,median,74.36430595386463,69.61479319839101,0.35,avoidance
T,T,p10,14.812494725737816,25.685506885758393,0.144,attraction
T,T,p90,122.96121339674558,146.64435357551935,0.161,attraction
T,Helper T,mean,74.07033060921242,79.72382810656876,0.396,attraction
T,Helper T,median,45.53591915368078,69.08156822399171,0.049,attraction
T,Helper T,p10,15.295798314135418,28.39698766742791,0.09,attraction
T,Helper T,p90,165.2697762179775,142.60786501776042,0.193,avoidance
T,Cytotoxic T,mean,50.7333609330673,78.27242086852272,0.02,attraction
T,Cytotoxic T,median,21.199999999999903,68.92008004937668,0.0,attraction
T,Cytotoxic T,p10,8.38295624767919,28.524666005171838,0.001,attraction
T,Cytotoxic T,p90,122.454760046301,136.16886401638985,0.378,attraction
Helper T,TAM,mean,183.3935052982355,143.84052113705204,0.055,avoidance
Helper T,TAM,median,189.55215991180762,102.30907627339404,0.0,avoidance
Helper T,TAM,p10,60.75142723454798,34.69299705489812,0.0,avoidance
Helper T,TAM,p90,294.2422863628804,362.0362838225363,0.904,attraction
Helper T,Endothelial cells,mean,133.69718097586863,143.70941549546652,0.876,attraction
Helper T,Endothelial cells,median,122.26992820859275,102.53375881142281,0.061,avoidance
Helper T,Endothelial cells,p10,37.789187078133075,34.852943750967405,0.264,avoidance
Helper T,Endothelial cells,p90,257.6274346081048,361.1128884920633,0.856,attraction
Helper T,Ki67 proliferating cells,mean,153.559014777996,140.8276556719818,0.079,avoidance
Helper T,Ki67 proliferating cells,median,139.79928469058777,102.81418710037953,0.032,avoidance
Helper T,Ki67 proliferating cells,p10,55.703804996303774,37.60358688420445,0.052,avoidance
Helper T,Ki67 proliferating cells,p90,272.20083109704433,332.4070747495071,0.88,attraction
Helper T,T,mean,117.39661458738452,146.22698248262563,0.542,attraction
